cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Conservative Party,A woman,64,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A woman,37,Ontario,Some university,University certificate or diploma below bachelor level,Female,35 to 44
ndp,A man,25,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
ndp,A man,58,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,50,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A woman,29,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,40,Ontario,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A man,57,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A woman,49,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Don't know/ Prefer not to answer,A woman,54,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Green Party,A woman,51,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Don't know/ Prefer not to answer,A woman,59,Manitoba,Some secondary/ high school,Other,Female,55 to 64
Liberal Party,A woman,53,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,63,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A woman,44,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Green Party,A man,43,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A woman,32,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
ndp,A man,30,British Columbia,Completed elementary school,NA,Male,25 to 34
People's Party,A woman,47,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A man,49,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Liberal Party,A woman,54,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,60,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A woman,60,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A woman,26,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Conservative Party,A man,64,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Green Party,A woman,43,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Green Party,A woman,41,Alberta,Some university,University certificate or diploma below bachelor level,Female,35 to 44
ndp,A woman,30,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Liberal Party,A woman,25,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Bloc Québécois,A woman,28,Quebec,Some secondary/ high school,Other,Female,25 to 34
Liberal Party,A man,56,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A woman,34,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,61,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A woman,35,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
ndp,A woman,37,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,33,Manitoba,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,34,Quebec,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,59,Manitoba,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Liberal Party,A woman,39,Quebec,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A woman,34,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
ndp,A woman,35,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Green Party,A man,25,Quebec,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,53,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A woman,41,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A woman,37,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,35,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A woman,59,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,28,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Bloc Québécois,A man,60,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,47,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,27,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Liberal Party,A man,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,60,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,56,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,62,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,44,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,36,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A woman,35,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A woman,53,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Don't know/ Prefer not to answer,A man,44,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Don't know/ Prefer not to answer,A woman,51,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,42,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
ndp,A woman,29,Saskatchewan,Some secondary/ high school,Other,Female,25 to 34
Green Party,A man,55,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Conservative Party,A man,53,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A man,27,British Columbia,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A woman,45,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Don't know/ Prefer not to answer,A woman,59,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Another party (please specify),A man,43,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Liberal Party,A man,33,British Columbia,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A woman,38,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Don't know/ Prefer not to answer,A man,64,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A man,30,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Don't know/ Prefer not to answer,A woman,30,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,26,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Liberal Party,A woman,61,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A man,60,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Don't know/ Prefer not to answer,A woman,37,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
ndp,A woman,40,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Conservative Party,A woman,42,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Green Party,A man,30,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Green Party,A man,64,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A man,42,Quebec,Completed elementary school,NA,Male,35 to 44
Conservative Party,A woman,43,Alberta,Some secondary/ high school,Other,Female,35 to 44
Conservative Party,A man,34,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Green Party,A woman,62,British Columbia,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,25,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,45,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A man,42,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,29,Quebec,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,49,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A woman,45,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,39,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,64,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,62,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,57,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Another party (please specify),A woman,33,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Liberal Party,A woman,42,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,58,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A man,33,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Conservative Party,A woman,48,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Bloc Québécois,A woman,45,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A woman,33,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,29,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,25,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,39,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Conservative Party,A woman,60,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,51,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Don't know/ Prefer not to answer,A woman,54,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,30,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Don't know/ Prefer not to answer,A woman,48,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,54,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A man,50,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A man,58,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,58,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A man,38,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Don't know/ Prefer not to answer,A man,31,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
ndp,A woman,28,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Don't know/ Prefer not to answer,A man,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,30,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A woman,33,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A woman,47,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Green Party,A woman,37,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,26,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A man,56,British Columbia,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,55 to 64
Conservative Party,A man,33,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Don't know/ Prefer not to answer,A woman,41,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
ndp,A man,47,Manitoba,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Conservative Party,A man,28,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A man,33,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Conservative Party,A man,36,Saskatchewan,Some secondary/ high school,Other,Male,35 to 44
Don't know/ Prefer not to answer,A man,49,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Don't know/ Prefer not to answer,A woman,60,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A man,58,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A woman,45,Saskatchewan,Some secondary/ high school,Other,Female,45 to 54
Conservative Party,A woman,39,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,46,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A man,46,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Conservative Party,A man,49,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A man,35,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
ndp,A woman,53,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,39,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Green Party,A man,42,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A woman,51,Alberta,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,36,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A man,50,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A man,64,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A man,26,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
ndp,A woman,60,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A man,46,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A woman,46,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A man,47,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A man,56,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Don't know/ Prefer not to answer,A woman,52,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Another party (please specify),A woman,37,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,38,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,38,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,46,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,31,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Conservative Party,A woman,62,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A woman,33,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,59,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A woman,47,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A woman,42,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,50,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A man,56,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,55,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A woman,35,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,63,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,57,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A woman,55,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A woman,44,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A man,56,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,29,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A woman,43,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A man,45,Alberta,Some secondary/ high school,Other,Male,45 to 54
Bloc Québécois,A woman,42,Quebec,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,64,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,64,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,49,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A man,38,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
ndp,A woman,25,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,60,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,29,Saskatchewan,Completed elementary school,NA,Female,25 to 34
Conservative Party,A woman,62,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A woman,38,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A woman,55,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,50,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,28,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,64,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,52,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
ndp,A man,33,Ontario,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Bloc Québécois,A man,56,Quebec,Some secondary/ high school,Other,Male,55 to 64
Conservative Party,A woman,60,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A woman,39,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A woman,61,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,42,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A woman,62,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,43,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Don't know/ Prefer not to answer,A woman,47,Quebec,Some university,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,58,Saskatchewan,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,33,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Conservative Party,A woman,35,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
ndp,A woman,30,British Columbia,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,49,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A woman,43,Manitoba,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,59,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Green Party,A man,60,Ontario,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,49,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Liberal Party,A woman,41,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A woman,51,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A man,39,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Liberal Party,A woman,30,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,64,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,38,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,53,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,42,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
ndp,A man,35,British Columbia,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Don't know/ Prefer not to answer,A woman,63,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,59,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,53,Alberta,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
Don't know/ Prefer not to answer,A woman,42,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,63,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,33,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Bloc Québécois,A man,33,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,47,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Liberal Party,A woman,61,Alberta,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,55,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A woman,32,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Don't know/ Prefer not to answer,A woman,50,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,56,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A woman,28,Quebec,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,34,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
